Land;Stadt;Kategorie;Merkmal;Jahr;Anzahl der Linien;Anzahl der Schiffe; Fahrstunden;Fahrgaeste
de-sh;Kiel;transport_verkehr;Schlepp- und Faehrgesellschaft Kiel;1988;2;11;k.A.;1739683
de-sh;Kiel;transport_verkehr;Schlepp- und Faehrgesellschaft Kiel;1989;2;11;k.A.;1828118
de-sh;Kiel;transport_verkehr;Schlepp- und Faehrgesellschaft Kiel;1990;2;11;k.A.;1793153
de-sh;Kiel;transport_verkehr;Schlepp- und Faehrgesellschaft Kiel;1991;2;11;20867;1868194
de-sh;Kiel;transport_verkehr;Schlepp- und Faehrgesellschaft Kiel;1992;2;11;21528;1800242
de-sh;Kiel;transport_verkehr;Schlepp- und Faehrgesellschaft Kiel;1993;2;10;18400;1658427
de-sh;Kiel;transport_verkehr;Schlepp- und Faehrgesellschaft Kiel;1994;2;10;19463;1665085
de-sh;Kiel;transport_verkehr;Schlepp- und Faehrgesellschaft Kiel;1995;2;10;18194;1463271
de-sh;Kiel;transport_verkehr;Schlepp- und Faehrgesellschaft Kiel;1996;2;9;18024;1211216
de-sh;Kiel;transport_verkehr;Schlepp- und Faehrgesellschaft Kiel;1997;2;9;19140;1287597
de-sh;Kiel;transport_verkehr;Schlepp- und Faehrgesellschaft Kiel;1998;2;9;19067;1010924
de-sh;Kiel;transport_verkehr;Schlepp- und Faehrgesellschaft Kiel;1999;2;8;13336;1001012
de-sh;Kiel;transport_verkehr;Schlepp- und Faehrgesellschaft Kiel;2000;2;8;13440;1322266
de-sh;Kiel;transport_verkehr;Schlepp- und Faehrgesellschaft Kiel;2001;2;8;13041;1332943
de-sh;Kiel;transport_verkehr;Schlepp- und Faehrgesellschaft Kiel;2002;2;8;13159;1279901
de-sh;Kiel;transport_verkehr;Schlepp- und Faehrgesellschaft Kiel;2003;2;8;12987;1303771
de-sh;Kiel;transport_verkehr;Schlepp- und Faehrgesellschaft Kiel;2004;2;8;14357;1400838
de-sh;Kiel;transport_verkehr;Schlepp- und Faehrgesellschaft Kiel;2005;2;8;16129;1414051
de-sh;Kiel;transport_verkehr;Schlepp- und Faehrgesellschaft Kiel;2006;2;8;14219;1401934
de-sh;Kiel;transport_verkehr;Schlepp- und Faehrgesellschaft Kiel;2007;2;9;15639;1400000
de-sh;Kiel;transport_verkehr;Schlepp- und Faehrgesellschaft Kiel;2008;2;10;19456;1405686
de-sh;Kiel;transport_verkehr;Schlepp- und Faehrgesellschaft Kiel;2009;2;10;17582;1405082
de-sh;Kiel;transport_verkehr;Schlepp- und Faehrgesellschaft Kiel;2010;2;10;17446;1403378
de-sh;Kiel;transport_verkehr;Schlepp- und Faehrgesellschaft Kiel;2011;2;10;19490;1406364
de-sh;Kiel;transport_verkehr;Schlepp- und Faehrgesellschaft Kiel;2012;2;10;18860;1399437
de-sh;Kiel;transport_verkehr;Schlepp- und Faehrgesellschaft Kiel;2013;2;10;19130;1399689
de-sh;Kiel;transport_verkehr;Schlepp- und Faehrgesellschaft Kiel;2014;2;11;20148;1403422
de-sh;Kiel;transport_verkehr;Schlepp- und Faehrgesellschaft Kiel;2015;2;11;20983;1405277
de-sh;Kiel;transport_verkehr;Schlepp- und Faehrgesellschaft Kiel;2016;2;11;18673;1406574
de-sh;Kiel;transport_verkehr;Schlepp- und Faehrgesellschaft Kiel;2017;2;11;19441;1401873
de-sh;Kiel;transport_verkehr;Schlepp- und Faehrgesellschaft Kiel;2018;2;11;20269;1403016
de-sh;Kiel;transport_verkehr;Schlepp- und Faehrgesellschaft Kiel;2019;2;11;20109;1402801
de-sh;Kiel;transport_verkehr;Schlepp- und Faehrgesellschaft Kiel;2020;2;11;16049;1042443
de-sh;Kiel;transport_verkehr;Schlepp- und Faehrgesellschaft Kiel;2021;2;11;18022;1045741
