np_id;haltestelle;durchschnitt_einsteiger_tag;durchschnitt_aussteiger_tag;jahr;tage
10000;Eckernförde;880,326;884,378;2010;Mo-Fr
10001;Rieseby;182,397;221,439;2010;Mo-Fr
10002;Süderbrarup;316,545;343,436;2010;Mo-Fr
10003;Sörup;254,754;256,712;2010;Mo-Fr
10004;Husby;65,035;77,13;2010;Mo-Fr
10005;Flensburg;1.421,96;1.377,66;2010;Mo-Fr
10006;Kiel Hbf;8.951,78;8.669,88;2010;Mo-Fr
10007;Suchsdorf;168,418;165,982;2010;Mo-Fr
10008;Gettorf;458,227;487,167;2010;Mo-Fr
10009;Felde;185,215;256,096;2010;Mo-Fr
10010;Raisdorf;527,972;572,73;2010;Mo-Fr
10011;Flintbek;413,167;379,934;2010;Mo-Fr
10013;Rendsburg;1.434,76;1.515,47;2010;Mo-Fr
10014;Bordesholm;1.029,15;1.058,79;2010;Mo-Fr
10015;Einfeld;187,746;158,03;2010;Mo-Fr
10016;Neumünster;4.938,61;5.119,02;2010;Mo-Fr
10020;Lübeck Hbf;10.591,75;10.663,35;2010;Mo-Fr
10021;Bad Schwartau;549,938;533,484;2010;Mo-Fr
10022;Pansdorf;144,7;133,467;2010;Mo-Fr
10023;Pönitz(Holst);257,399;266,609;2010;Mo-Fr
10024;Eutin;1.182,76;1.153,81;2010;Mo-Fr
10025;Bad Malente-Gremsmühlen;578,457;591,759;2010;Mo-Fr
10026;Plön;773,106;755,902;2010;Mo-Fr
10027;Ascheberg(Holst);253,674;241,874;2010;Mo-Fr
10028;Preetz;1.135,13;1.119,12;2010;Mo-Fr
10029;Timmendorferstrand;450,18;414,908;2010;Mo-Fr
10030;Scharbeutz;193,883;195,059;2010;Mo-Fr
10031;Haffkrug;106,904;96,913;2010;Mo-Fr
10032;Sierksdorf;244,549;268,417;2010;Mo-Fr
10034;Neustadt (Holst);415,151;397,374;2010;Mo-Fr
10035;Oldenburg (Holst);73,372;93,043;2010;Mo-Fr
10036;Großenbrode;17,274;18,48;2010;Mo-Fr
10037;Puttgarden;48,733;40,959;2010;Mo-Fr
10038;Lübeck-Travemünde Hafen;222,472;238,593;2010;Mo-Fr
10039;Lübeck-Travemünde Strand;419,499;399,902;2010;Mo-Fr
10040;Lübeck-Travemünde Skandinavienkai;67,281;76,973;2010;Mo-Fr
10041;Lübeck-Kücknitz;114,877;132,983;2010;Mo-Fr
10042;Lübeck St Jürgen;180,948;170,96;2010;Mo-Fr
10043;Herrnburg;29,618;31,096;2010;Mo-Fr
10044;Lüdersdorf (Meckl);27,875;33,599;2010;Mo-Fr
10045;Schönberg (Meckl);178,146;172,474;2010;Mo-Fr
10046;Grieben (Meckl);8,551;5,631;2010;Mo-Fr
10047;Grevesmühlen;292,097;303,827;2010;Mo-Fr
10048;Plüschow;6,259;6,538;2010;Mo-Fr
10049;Bobitz;10,474;9,102;2010;Mo-Fr
10050;Bad Kleinen;596,938;639,338;2010;Mo-Fr
10051;Lübstorf;0,463;0;2010;Mo-Fr
10052;Schwerin Hbf;785,504;772,366;2010;Mo-Fr
10053;Schwerin Mitte;149,048;207,033;2010;Mo-Fr
